id,tender_title,project_type,source_name,province,city,town,event_time,purchasing_staff,bid_company,bid_amount,currency,bid_date,content,created_at,updated_at
6507,合肥市琥珀五环幼儿园关于户外类的网上超市采购项目成交公告,学校,企业采购,安徽省,合肥市,"",2023-10-19 00:00:00,合肥市琥珀五环幼儿园,合肥童硕教育装备有限公司,87736.00,人民币:元,2023-10-19,合肥市琥珀五环幼儿园关于户外类的网上超市采购项目成交公告 项目:合肥市琥珀五环幼儿园关于户外类的网上超市采购项目,2026-07-29 09:19:42,2026-07-29 09:19:42
6508,合肥市庐阳区城市管理局关于移动硬盘的网上超市采购项目成交公告,政府,政府采购,安徽省,合肥市,庐阳区,2023-10-19 00:00:00,合肥市庐阳区城市管理局,合肥冠道汇合商贸有限公司,769.00,人民币:元,2023-10-19,合肥市庐阳区城市管理局关于移动硬盘的网上超市采购项目成交公告 项目:合肥市庐阳区城市管理局关于移动硬盘的网上超市采购项目,2026-07-29 09:19:42,2026-07-29 09:19:42
6509,亳州市谯城区教育局关于电饭煲的网上超市采购项目成交公告,政府,政府采购,安徽省,亳州市,谯城区,2023-10-19 00:00:00,亳州市谯城区教育局,亳州市盖盛祥超市有限责任公司,100300.00,人民币:元,2023-10-19,亳州市谯城区教育局关于电饭煲的网上超市采购项目成交公告 项目:亳州市谯城区教育局关于电饭煲的网上超市采购项目,2026-07-29 09:19:42,2026-07-29 09:19:42
6510,湾沚区2023年至2025年日常及年度国土变更调查服务项目中标结果公告,服务,政府采购,安徽省,芜湖市,湾沚区,2023-10-19 00:00:00,芜湖市自然资源和规划局湾沚分局,安徽省第四测绘院,2799000.00,人民币:元,2023-10-19,湾沚区2023年至2025年日常及年度国土变更调查服务项目中标结果公告 项目:湾沚区2023年至2025年日常及年度国土变更调查服务项目,2026-07-29 09:19:42,2026-07-29 09:19:42
6511,安徽省医学科学研究院关于数码线材的网上超市采购项目成交公告,货物,企业采购,安徽省,合肥市,包河区,2023-10-19 00:00:00,安徽省医学科学研究院,合肥市包河区凌昕电子产品经营部,1390.00,人民币:元,2023-10-19,安徽省医学科学研究院关于数码线材的网上超市采购项目成交公告 项目:安徽省医学科学研究院关于数码线材的网上超市采购项目,2026-07-29 09:19:42,2026-07-29 09:19:42
6512,合肥市中心血站关于茶盘的网上超市采购项目成交公告,货物,企业采购,安徽省,合肥市,"",2023-10-19 00:00:00,合肥市中心血站,合肥佰品绘网络信息科技有限公司,4780.80,人民币:元,2023-10-19,合肥市中心血站关于茶盘的网上超市采购项目成交公告 项目:合肥市中心血站关于茶盘的网上超市采购项目,2026-07-29 09:19:42,2026-07-29 09:19:42
6513,安徽省医学科学研究院关于电源的网上超市采购项目成交公告,货物,企业采购,安徽省,合肥市,包河区,2023-10-19 00:00:00,安徽省医学科学研究院,合肥市包河区凌昕电子产品经营部,675.00,人民币:元,2023-10-19,安徽省医学科学研究院关于电源的网上超市采购项目成交公告 项目:安徽省医学科学研究院关于电源的网上超市采购项目,2026-07-29 09:19:42,2026-07-29 09:19:42
6514,合肥高新技术产业开发区天乐社区服务中心关于毛球修剪器的网上超市采购项目成交公告,服务,企业采购,安徽省,合肥市,合肥高新技术产业开发区,2023-10-19 00:00:00,合肥高新技术产业开发区天乐社区服务中心,合肥聪立商贸有限公司,2595.00,人民币:元,2023-10-19,合肥高新技术产业开发区天乐社区服务中心关于毛球修剪器的网上超市采购项目成交公告 项目:合肥高新技术产业开发区天乐社区服务中心关于毛球修剪器的网上超市采购项目,2026-07-29 09:19:42,2026-07-29 09:19:42
6515,迎江检察院法律文书签印安全管控输出系统设备采购【进场交易见证书】,政府,政府采购,安徽省,安庆市,迎江区,2023-10-19 00:00:00,安庆市迎江区人民检察院,四川江敏科技发展有限公司,767500.00,人民币:元,2023-10-19,迎江检察院法律文书签印安全管控输出系统设备采购【进场交易见证书】 项目:迎江检察院采购法律文书签印安全管控输出系统设备,2026-07-29 09:19:42,2026-07-29 09:19:42
6516,马鞍山市中医院关于硒鼓的网上超市采购项目成交公告,医院,政府采购,安徽省,马鞍山市,"",2023-10-19 00:00:00,马鞍山市中医院,马鞍山市枫平商贸有限公司,27672.00,人民币:元,2023-10-19,马鞍山市中医院关于硒鼓的网上超市采购项目成交公告 项目:马鞍山市中医院关于硒鼓的网上超市采购项目,2026-07-29 09:19:42,2026-07-29 09:19:42
